,make,model
705,hyundai,santa cruz
706,hyundai,santa fe
707,hyundai,santa fe hybrid
708,hyundai,santa fe plug-in hybrid
709,hyundai,santa fe sport
710,hyundai,santa fe xl
711,hyundai,scoupe
712,hyundai,sonata
713,hyundai,sonata hybrid
714,hyundai,sonata plug-in hybrid
715,hyundai,tiburon
716,hyundai,tucson
717,hyundai,tucson hybrid
718,hyundai,tucson plug-in hybrid
719,hyundai,veloster
720,hyundai,venue
721,hyundai,veracruz
722,hyundai,xg300
723,hyundai,xg350
724,infiniti,ex
725,infiniti,fx
726,infiniti,g
727,infiniti,i
728,infiniti,j
729,infiniti,jx
730,infiniti,m
731,infiniti,q
732,infiniti,q40
733,infiniti,q50
734,infiniti,q60
735,infiniti,q70
736,infiniti,qx
737,infiniti,qx30
738,infiniti,qx50
739,infiniti,qx55
740,infiniti,qx60
741,infiniti,qx70
742,infiniti,qx80
743,isuzu,amigo
744,isuzu,ascender
745,isuzu,axiom
746,isuzu,hombre regular cab
747,isuzu,hombre spacecab
748,isuzu,i-280 extended cab
749,isuzu,i-290 extended cab
750,isuzu,i-350 crew cab
751,isuzu,i-370 crew cab
752,isuzu,i-370 extended cab
753,isuzu,impulse
754,isuzu,oasis
755,isuzu,regular cab
756,isuzu,rodeo
757,isuzu,rodeo sport
758,isuzu,spacecab
759,isuzu,stylus
760,isuzu,trooper
761,isuzu,vehicross
762,jaguar,e-pace
763,jaguar,f-pace
764,jaguar,f-type
765,jaguar,i-pace
766,jaguar,s-type
767,jaguar,x-type
768,jaguar,xe
769,jaguar,xf
770,jaguar,xj
771,jaguar,xk
772,jeep,cherokee
773,jeep,comanche regular cab
774,jeep,commander
775,jeep,compass
776,jeep,gladiator
777,jeep,grand cherokee
778,jeep,grand cherokee 4xe
779,jeep,grand cherokee l
780,jeep,grand wagoneer
781,jeep,grand wagoneer l
782,jeep,liberty
783,jeep,patriot
784,jeep,renegade
785,jeep,wagoneer
786,jeep,wagoneer l
787,jeep,wrangler
788,jeep,wrangler 2 door
789,jeep,wrangler 4 door
790,jeep,wrangler 4xe
791,jeep,wrangler unlimited
792,jeep,wrangler unlimited 4xe
793,kia,amanti
794,kia,borrego
795,kia,cadenza
796,kia,carnival
797,kia,ev6
798,kia,forte
799,kia,forte koup
800,kia,forte5
801,kia,k5
802,kia,k900
803,kia,niro
804,kia,niro ev
805,kia,niro plug-in hybrid
806,kia,optima
807,kia,optima (2006.5)
808,kia,optima hybrid
809,kia,optima plug-in hybrid
810,kia,rio
811,kia,rondo
812,kia,sedona
813,kia,seltos
814,kia,sephia
815,kia,sorento
816,kia,sorento hybrid
817,kia,sorento plug-in hybrid
818,kia,soul
819,kia,soul ev
820,kia,spectra
821,kia,sportage
822,kia,sportage hybrid
823,kia,sportage plug-in hybrid
824,kia,stinger
